00795720-n	ārĕmbha	ārambha
00798245-n	ārĕmbha	ārambha
15265518-n	ārĕmbha	ārambha
07946851-n	ari
10055847-n	ari
07334490-n	ariṣṭa
09450163-n	arka
05131647-n	āroha
05981230-n	artha
05982152-n	artha
07343910-n	aruṇodaya
00021265-n	aśana
05919034-n	āsaṅkhya
05833840-n	āsĕṅka
05919034-n	āsĕṅka
05941423-n	āsĕṅka
06782680-n	āsĕṅka
04373894-n	asi
07813107-n	asin	hasin, ahasin
09416076-n	aśma
02897820-n	aśmawiṣṭaka
02084071-n	asu
02374451-n	aśwa
05302499-n	āsya
05600637-n	āsya
03327234-n	ataṅgulan
00916464-n	atatanen
15120823-n	atītakāla
10150940-n	atithi
10628644-n	ātmabhuh
00817680-n	ātmarakṣa	ātmarakṣaka
08215801-n	ātmarakṣa	ātmarakṣaka
07495327-n	ātura
10787470-n	awalā
07502980-n	awalepa
09436708-n	awaṅ-awaṅ
09270894-n	awani
08191230-n	awarūthinī	awaruti
08274354-n	awarūthinī	awaruti
08625073-n	awasawya
14642417-n	ayah
01792640-n	ayam	hayam
03259505-n	āyatanasthāna
08558963-n	āyatanasthāna
08664443-n	āyatanasthāna
04565375-n	āyudha
03398467-n	ayun
03221720-n	babahan
03290771-n	babahan
03427296-n	babahan
